MRR,Date,XcoordGPS,YcoordGPS,ColMethod,variable,NumMoz,relSite
1,2013-10-11T00:00:00Z,-4.47139,11.23345,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473088,11.234109,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473089,11.234105,Swarm,Male Mark A,1,A
1,2013-10-12T00:00:00Z,-4.473379,11.233701,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473449,11.233894,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472851,11.23367,Swarm,Male Mark A,1,A
1,2013-10-12T00:00:00Z,-4.47282,11.233604,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472774,11.233523,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472754,11.233524,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.47288,11.233968,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472927,11.233612,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472865,11.233608,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473237,11.232689,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473255,11.232586,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473301,11.232573,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473273,11.230718,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473285,11.230863,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473319,11.230771,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472592,11.230161,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472702,11.230196,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472514,11.230194,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472338,11.232567,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472368,11.23267,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.471982,11.232418,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.471965,11.232493,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.470268,11.231107,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.4705259999999996,11.231022,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.470404,11.231091,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.471061,11.231542,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.471254,11.231439,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472153,11.233797,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472171,11.233716,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472098,11.233781,Swarm,Male Mark A,1,A
