X,Y,CompID,Locality,Category,long_dd,lat_dd,X_m,Y_m,Alt_m,Houses_tre,Houses_Are,Nb_houses,Nb_Rooms,NB_bednets,Nb_beds
-4.46939,11.234189,109,Village,Concession,-4.46939,11.234189,339589.876535,1242274.81365,340.430054,3340.373855,79.306758,3,4,0,0
-4.469206,11.23339,110,Village,Concession,-4.469206,11.23339,339609.525943,1242186.33905,336.825073,7361.300968,64.13846,3,4,2,2
-4.469912,11.233418,111,Village,Concession,-4.469912,11.233418,339532.452993,1242189.82128,338.026733,1058.676707,87.575471,3,6,4,5
-4.470327,11.233567000000107,112,Village,Concession,-4.470327,11.233567,339487.221372,1242206.52813,338.988037,852.707442,208.163015,7,14,5,5
-4.470729,11.233847,113,Village,Concession,-4.470729,11.233847,339443.481738,1242237.71735,338.507446,623.771758,49.037289,2,3,3,3
-4.470635,11.234067,114,Village,Concession,-4.470635,11.234067,339453.867329,1242261.99935,335.86377,820.672727,53.765114,3,5,3,3
-4.470798,11.233682,115,Village,Concession,-4.470798,11.233682,339435.856321,1242219.50503,336.344482,935.24718,168.475253,9,9,8,8
-4.471449,11.233374,116,Village,Concession,-4.471449,11.233374,339364.602914,1242185.79399,342.352661,1427.753489,78.777927,3,4,0,0
-4.483394,11.241185,117,Market,Concession,-4.483394,11.241185,338064.678931,1243056.29605,338.507446,0,0,0,0,0,0
-4.482247,11.242203,118,Market,Concession,-4.482247,11.242203,338190.485656,1243168.26166,336.825073,0,0,0,0,0,0
-4.482554,11.243083,119,Market,Concession,-4.482554,11.243083,338157.45618,1243265.76467,332.739624,0,0,0,0,0,0
-4.483641,11.243999,120,Market,Concession,-4.483641,11.243999,338039.281147,1243367.67958,329.374878,0,0,0,0,0,0
-4.484216,11.243835,121,Market,Concession,-4.484216,11.243835,337976.406936,1243349.85719,334.902466,0,0,0,0,0,0
-4.484426,11.243779,122,Market,Concession,-4.484426,11.243779,337953.446337,1243343.77906,334.181519,0,0,0,0,0,0
-4.484432,11.243459,123,Market,Concession,-4.484432,11.243459,337952.612376,1243308.3882,334.902466,0,0,0,0,0,0
-4.484894,11.243446,124,Market,Concession,-4.484894,11.243446,337902.160571,1243307.20523,335.383179,0,0,0,0,0,0
-4.48396,11.243042,125,Market,Concession,-4.48396,11.243042,338003.915809,1243262.00483,333.220215,0,0,0,0,0,0
-4.484423,11.242767000000129,126,Market,Concession,-4.484423,11.242767,337953.208343,1243231.84335,335.86377,0,0,0,0,0,0
-4.484353,11.24241,127,Market,Concession,-4.484353,11.24241,337960.651984,1243192.31811,338.988037,0,0,0,0,0,0
-4.485166,11.24275,128,Market,Concession,-4.485166,11.24275,337872.072469,1243230.37301,336.825073,0,0,0,0,0,0
-4.485124,11.24218100000013,129,Market,Concession,-4.485124,11.242181,337876.340235,1243167.41456,338.507446,0,0,0,0,0,0
-4.484051,11.241917,130,Market,Concession,-4.484051,11.241917,337993.351247,1243137.62241,335.142822,0,0,0,0,0,0
